spot,Flags,Column,Row,Name,ID,RefNumber,c253295110048_ar2_jun1912_A_SL,c253295110048_ar1_jun1912_B_SL,c253295110048_ar4_jun1912_C_SL,c253295110048_ar3_jun1912_A_L,c253295110048_ar6_jun1912_B_L,c253295110048_ar5_jun1912_C_L,c253295110048_ar8_jun1912_A_C,c253295110048_ar7_jun1912_B_C,c253295110054_ar2_jul1112_C_C
172,0,52,12,133856043_EF133954.1_75-686,CUST_10_PI426267032,7293,1,1,-2,1,0,2,1,0,1
173,0,70,21,133856043_EF133954.1_75-686,CUST_10_PI426267032,4418,2,-18,0,-5,1,2,0,0,1
174,0,22,30,133856043_EF133954.1_75-686,CUST_11_PI426267032,12204,-16,3,0,0,1,-6,0,1,-3
175,0,64,54,133856043_EF133954.1_75-686,CUST_10_PI426267032,5304,2,1,-1,-7,2,3,0,-3,-5
176,0,61,87,133856043_EF133954.1_75-686,CUST_12_PI426267032,5861,-1,0,1,2,0,1,0,-2,1
177,0,32,95,133856043_EF133954.1_75-686,CUST_11_PI426267032,10613,1,3,-1,-5,0,2,-1,0,0
178,0,58,142,133856043_EF133954.1_75-686,CUST_11_PI426267032,6244,0,4,-1,0,1,0,0,0,0
179,0,54,145,133856043_EF133954.1_75-686,CUST_12_PI426267032,6980,2,2,-1,0,0,2,0,-3,1
180,0,79,159,133856043_EF133954.1_75-686,CUST_12_PI426267032,2873,-1,-4,0,0,-3,2,0,-1,-1
181,0,3,10,133856045_EF133955.1_75-686,CUST_9_PI426267032,15330,0,4,1,-4,-1,1,0,0,2
182,0,3,29,133856045_EF133955.1_75-686,CUST_8_PI426267032,15402,2,2,-1,-2,-1,0,1,0,1
183,0,20,70,133856045_EF133955.1_75-686,CUST_7_PI426267032,12512,0,-3,-2,-3,0,2,0,1,0
184,0,26,89,133856045_EF133955.1_75-686,CUST_7_PI426267032,11600,-1,5,0,-1,1,-1,3,2,1
185,0,86,103,133856045_EF133955.1_75-686,CUST_9_PI426267032,1753,-3,0,2,1,0,1,2,0,0
186,0,34,105,133856045_EF133955.1_75-686,CUST_8_PI426267032,10280,-1,5,0,-3,1,0,0,0,2
187,0,72,131,133856045_EF133955.1_75-686,CUST_9_PI426267032,4035,1,2,-2,0,0,1,1,3,1
188,0,92,140,133856045_EF133955.1_75-686,CUST_7_PI426267032,669,3,4,1,-2,-1,2,1,1,1
189,0,60,147,133856045_EF133955.1_75-686,CUST_8_PI426267032,5995,0,3,3,0,2,1,0,1,0
190,0,56,27,133856047_EF133956.1_101-712,CUST_17_PI426267032,6711,1,-1,0,-1,0,1,0,-2,-2
191,0,91,32,133856047_EF133956.1_101-712,CUST_16_PI426267032,887,2,2,-1,-1,0,3,1,0,1
192,0,34,53,133856047_EF133956.1_101-712,CUST_17_PI426267032,10306,0,2,1,-1,1,1,-1,-1,1
193,0,68,58,133856047_EF133956.1_101-712,CUST_16_PI426267032,4646,3,1,1,-1,0,1,0,1,0
194,0,16,81,133856047_EF133956.1_101-712,CUST_16_PI426267032,13244,0,-5,1,-2,-1,0,-8,-1,0
195,0,3,87,133856047_EF133956.1_101-712,CUST_18_PI426267032,15373,3,4,0,0,0,3,0,-1,0
196,0,22,116,133856047_EF133956.1_101-712,CUST_17_PI426267032,12161,-1,2,2,0,-1,0,0,0,1
197,0,8,135,133856047_EF133956.1_101-712,CUST_18_PI426267032,14529,1,2,0,1,0,0,1,3,0
198,0,86,158,133856047_EF133956.1_101-712,CUST_18_PI426267032,1644,0,2,0,-3,1,0,0,3,-1
199,0,51,16,15081471_AF401282.1_721-969,CUST_42_PI426244603,7455,3,1,0,-3,0,-1,1,-1,-2
200,0,10,31,15081471_AF401282.1_721-969,CUST_42_PI426244603,14253,1,0,-1,0,0,0,-2,-3,-1
201,0,52,116,15081471_AF401282.1_721-969,CUST_42_PI426244603,7241,-2,1,-1,3,1,0,1,2,1
202,0,18,38,15081471_AF401282.1_84-767,CUST_44_PI426244603,12856,1069,1525,837,494,352,520,268,450,2
